@RELATION Gait 

@ATTRIBUTE Left_Accelerometer_X NUMERIC
@ATTRIBUTE Left_Accelerometer_Y NUMERIC
@ATTRIBUTE Left_Accelerometer_Z NUMERIC
@ATTRIBUTE Left_Gyroscope_X NUMERIC
@ATTRIBUTE Left_Gyroscope_Y NUMERIC
@ATTRIBUTE Left_Gyroscope_Z NUMERIC
@ATTRIBUTE Left_FSR_B NUMERIC
@ATTRIBUTE Left_FSR_F NUMERIC
@ATTRIBUTE Left_Magnetometer_X NUMERIC
@ATTRIBUTE Left_Magnetometer_Y NUMERIC
@ATTRIBUTE Left_Magnetometer_Z NUMERIC
@ATTRIBUTE Right_Accelerometer_X NUMERIC
@ATTRIBUTE Right_Accelerometer_Y NUMERIC
@ATTRIBUTE Right_Accelerometer_Z NUMERIC
@ATTRIBUTE Right_Gyroscope_X NUMERIC
@ATTRIBUTE Right_Gyroscope_Y NUMERIC
@ATTRIBUTE Right_Gyroscope_Z NUMERIC
@ATTRIBUTE Right_FSR_B NUMERIC
@ATTRIBUTE Right_FSR_F NUMERIC
@ATTRIBUTE Right_Magnetometer_X NUMERIC
@ATTRIBUTE Right_Magnetometer_Y NUMERIC
@ATTRIBUTE Right_Magnetometer_Z NUMERIC
@ATTRIBUTE class {Right_heel_strike, Right_toe_contact, Left_toe_off, Right_heel_off, Left_heel_strike, Left_toe_contact, Right_toe_off, Left_heel_off}

@DATA
10.17821782,1.96039604,-8.198019802,3.329310345,3.075862069,-2.993103448,3594,3119,-0.320689655,-0.596551724,0.603448276,3.648810137,5.209634139,-0.387775956,-69.98938024,28.33347562,-65.86925541,3791,2741,-0.768518519,0.231707317,-0.01607717,Left_toe_contact
9.98019802,-0.118811881,-8.02970297,3.272413793,3.15,-2.99137931,3586,3256,-0.332758621,-0.59137931,0.613793103,-0.316460169,5.531399164,-1.17654381,-90.74315694,-2.702754196,-29.16816217,3798,2760,-0.780864198,0.268292683,-0.01607717,Left_toe_contact
9.613861386,-1.02970297,-8.188118812,3.281034483,3.146551724,-3.015517241,3578,3354,-0.332758621,-0.59137931,0.613793103,2.850638912,0.632368622,-1.912498862,-93.81409576,-12.70202634,35.47211764,3801,2825,-0.780864198,0.268292683,-0.01607717,Left_toe_contact
9.118811881,-1.693069307,-8.316831683,3.275862069,3.012068966,-3.055172414,3568,3271,-0.34137931,-0.593103448,0.617241379,1.4002517,-1.801048384,-1.704586702,-104.9367058,-20.32606153,66.18044103,3755,2800,-0.817901235,0.329268293,0.003215434,Right_toe_off
9.247524752,-1.346534653,-8.712871287,3.251724138,2.875862069,-3.089655172,3557,3129,-0.336206897,-0.603448276,0.613793103,1.480048273,-4.952150084,0.265039899,-102.949969,-33.62229413,68.43110484,3748,2775,-0.820987654,0.365853659,0.028938907,Right_toe_off
9.534653465,-0.227722772,-8.099009901,3.236206897,2.756896552,-3.110344828,3546,3019,-0.339655172,-0.587931034,0.60862069,1.652000649,-6.363752005,0.276800149,-67.10443995,-40.80148994,71.92952258,3758,2712,-0.802469136,0.448170732,0.022508039,Right_toe_off
9.495049505,1.455445545,-7.04950495,3.227586207,2.713793103,-3.106896552,3529,2933,-0.339655172,-0.587931034,0.60862069,2.581315676,-6.493135117,-0.732196003,-12.44923683,-44.60914305,74.18692366,3760,2692,-0.802469136,0.448170732,0.022508039,Right_toe_off
9.683168317,2.495049505,-7.069306931,3.222413793,2.751724138,-3.070689655,3518,2861,-0.332758621,-0.589655172,0.618965517,3.009526458,-6.415433045,-0.533778087,51.63533854,-43.13483051,84.40790195,3755,2643,-0.783950617,0.484756098,0.051446945,Right_toe_off
9.524752475,2.752475248,-6.940594059,3.229310345,2.85,-3.032758621,3505,3250,-0.322413793,-0.575862069,0.606896552,3.626978825,-4.740962194,-0.469240575,110.9007843,-41.31076183,94.84612834,3755,2539,-0.759259259,0.582317073,0.048231511,Right_toe_off
9.405940594,1.712871287,-6.96039604,3.237931034,2.956896552,-3.00862069,3490,3406,-0.356896552,-0.563793103,0.610344828,3.735552828,-2.308366993,-1.101146491,158.1646108,-40.12030839,103.9084722,3761,2516,-0.728395062,0.673780488,0.022508039,Right_toe_off
